,NMOS width,PMOS width,Temperature,VDD,Switching point voltage high,Switching point voltage low
475,200,450,-9.046859613,450,0.709350049,0.27616623
476,450,750,34.44560455,750,0.831893444,0.253344744
477,500,250,-11.20743275,250,0.764666915,0.259911031
478,100,950,-39.05608843,950,0.663019478,0.206194729
479,150,550,88.46597127,550,0.646661222,0.217740595
480,400,950,41.98498928,950,0.804755032,0.216279894
481,50,250,-13.91737622,250,0.664858103,0.356570423
482,350,600,137.0922596,600,0.752996087,0.233707637
483,500,100,53.48582478,100,0.794115067,0.337043911
484,250,850,38.51864643,850,0.762358665,0.218051717
485,400,500,70.73106325,500,0.768967986,0.23376137
486,100,600,-30.98663628,600,0.654762387,0.248576507
487,250,950,117.9851421,950,0.764886737,0.2415075
488,250,150,59.17449043,150,0.709213138,0.305037379
489,400,1000,7.517050233,1000,0.827991307,0.211224079
490,50,150,-43.4671724,150,0.620812237,0.353185028
491,350,950,19.00438065,950,0.734501123,0.173880666
492,150,850,-9.912797245,850,0.654908836,0.167649403
493,100,750,-9.84923747,750,0.689650357,0.244979143
494,200,300,22.1538905,300,0.699975252,0.276835829
495,400,900,-58.33727636,900,0.752839565,0.155106694
496,50,550,136.5124886,550,0.604649246,0.215961918
497,150,700,-35.47942328,700,0.695311368,0.230980113
498,150,650,43.7149218,650,0.695392847,0.260427237
499,300,400,67.96931555,400,0.777144492,0.329769641
500,400,250,74.70582876,250,0.772646904,0.327070177
501,100,250,67.57953983,250,0.60816133,0.260045826
502,100,700,28.85961106,700,0.672244608,0.260499716
503,350,950,26.49640069,950,0.7352072,0.161990583
504,100,600,99.34073842,600,0.623354435,0.21603471
505,300,150,3.183944476,150,0.711769223,0.310744137
506,450,650,93.5148446,650,0.801334918,0.253205836
507,100,900,91.14753643,900,0.647264481,0.192056417
508,150,450,116.9812452,450,0.706147969,0.334628582
509,250,1000,100.5008593,1000,0.697104454,0.160082698
510,250,650,11.42624747,650,0.762867808,0.264488578
511,300,350,38.61530495,350,0.70488435,0.207181141
512,450,950,76.36267587,950,0.787367821,0.195247456
513,250,600,29.00234082,600,0.734331727,0.260433942
514,100,250,85.61212919,250,0.66372937,0.353013456
515,200,600,45.83692494,600,0.711723328,0.253230929
516,300,550,-30.30444497,550,0.709090173,0.192153215
517,250,750,138.1024075,750,0.76485908,0.264207482
518,400,400,0.735040262,400,0.726882994,0.211101532
519,50,650,-1.855020919,650,0.600534558,0.19908981
520,500,350,-54.8567958,350,0.789372265,0.233971998
521,150,450,-13.26254475,450,0.686204433,0.260515749
